way,node1,node2,count
https://www.openstreetmap.org/way/311132962,https://www.openstreetmap.org/node/3958176329,https://www.openstreetmap.org/node/3166968665,1
https://www.openstreetmap.org/way/27256644,https://www.openstreetmap.org/node/299154078,https://www.openstreetmap.org/node/8703241020,2
https://www.openstreetmap.org/way/305717339,https://www.openstreetmap.org/node/4137616342,https://www.openstreetmap.org/node/505812278,2
https://www.openstreetmap.org/way/95750117,https://www.openstreetmap.org/node/10770932859,https://www.openstreetmap.org/node/1109852654,523
https://www.openstreetmap.org/way/1042464495,https://www.openstreetmap.org/node/10278619353,https://www.openstreetmap.org/node/395262516,380
https://www.openstreetmap.org/way/97362896,https://www.openstreetmap.org/node/6789468277,https://www.openstreetmap.org/node/6789468278,1
https://www.openstreetmap.org/way/676379420,https://www.openstreetmap.org/node/2040934146,https://www.openstreetmap.org/node/254812631,2
https://www.openstreetmap.org/way/988265312,https://www.openstreetmap.org/node/1515895688,https://www.openstreetmap.org/node/8032231078,2
https://www.openstreetmap.org/way/885203551,https://www.openstreetmap.org/node/8231799244,https://www.openstreetmap.org/node/8231799243,1
https://www.openstreetmap.org/way/341361864,https://www.openstreetmap.org/node/3485532395,https://www.openstreetmap.org/node/2223513619,1
https://www.openstreetmap.org/way/24679866,https://www.openstreetmap.org/node/268253324,https://www.openstreetmap.org/node/2258802274,16
https://www.openstreetmap.org/way/24571103,https://www.openstreetmap.org/node/267144746,https://www.openstreetmap.org/node/267144751,139
https://www.openstreetmap.org/way/1007943303,https://www.openstreetmap.org/node/268410617,https://www.openstreetmap.org/node/9193743513,34
https://www.openstreetmap.org/way/180853297,https://www.openstreetmap.org/node/416018401,https://www.openstreetmap.org/node/5941434736,4
https://www.openstreetmap.org/way/684926675,https://www.openstreetmap.org/node/6417512572,https://www.openstreetmap.org/node/6417512569,4
https://www.openstreetmap.org/way/238168995,https://www.openstreetmap.org/node/2491409018,https://www.openstreetmap.org/node/2491408905,1
https://www.openstreetmap.org/way/1004188657,https://www.openstreetmap.org/node/1537715119,https://www.openstreetmap.org/node/7873450629,8
https://www.openstreetmap.org/way/185494209,https://www.openstreetmap.org/node/8998581627,https://www.openstreetmap.org/node/25831531,2
https://www.openstreetmap.org/way/164086079,https://www.openstreetmap.org/node/1228969639,https://www.openstreetmap.org/node/1757440757,380
https://www.openstreetmap.org/way/921117708,https://www.openstreetmap.org/node/8551982284,https://www.openstreetmap.org/node/8551982279,1
https://www.openstreetmap.org/way/319051051,https://www.openstreetmap.org/node/5086165846,https://www.openstreetmap.org/node/9799744113,4
https://www.openstreetmap.org/way/37555316,https://www.openstreetmap.org/node/1268503315,https://www.openstreetmap.org/node/8821875968,70
https://www.openstreetmap.org/way/1133026139,https://www.openstreetmap.org/node/2039152499,https://www.openstreetmap.org/node/11225107914,1
https://www.openstreetmap.org/way/412290161,https://www.openstreetmap.org/node/4987740515,https://www.openstreetmap.org/node/4987740510,3
https://www.openstreetmap.org/way/384226991,https://www.openstreetmap.org/node/3875196676,https://www.openstreetmap.org/node/8180177360,1
https://www.openstreetmap.org/way/683809627,https://www.openstreetmap.org/node/4173869815,https://www.openstreetmap.org/node/4005082961,29
https://www.openstreetmap.org/way/1014010076,https://www.openstreetmap.org/node/666340350,https://www.openstreetmap.org/node/4922452301,2
https://www.openstreetmap.org/way/167009627,https://www.openstreetmap.org/node/1784054670,https://www.openstreetmap.org/node/9764601193,1
https://www.openstreetmap.org/way/946495637,https://www.openstreetmap.org/node/269726222,https://www.openstreetmap.org/node/3035605214,6
https://www.openstreetmap.org/way/1093199514,https://www.openstreetmap.org/node/10011853723,https://www.openstreetmap.org/node/7986481462,1
https://www.openstreetmap.org/way/35206824,https://www.openstreetmap.org/node/3377221582,https://www.openstreetmap.org/node/3948125262,9
https://www.openstreetmap.org/way/424010639,https://www.openstreetmap.org/node/8185022580,https://www.openstreetmap.org/node/2704142881,1
https://www.openstreetmap.org/way/578814635,https://www.openstreetmap.org/node/403165353,https://www.openstreetmap.org/node/403165351,1
https://www.openstreetmap.org/way/878650150,https://www.openstreetmap.org/node/8173910070,https://www.openstreetmap.org/node/267274913,6
https://www.openstreetmap.org/way/19657233,https://www.openstreetmap.org/node/5331010300,https://www.openstreetmap.org/node/5331010301,5
https://www.openstreetmap.org/way/36740432,https://www.openstreetmap.org/node/420377956,https://www.openstreetmap.org/node/416014376,1
https://www.openstreetmap.org/way/5011594,https://www.openstreetmap.org/node/5331010304,https://www.openstreetmap.org/node/8382333689,3
https://www.openstreetmap.org/way/856472434,https://www.openstreetmap.org/node/8872610350,https://www.openstreetmap.org/node/7985675748,1
https://www.openstreetmap.org/way/4219979,https://www.openstreetmap.org/node/25083436,https://www.openstreetmap.org/node/25083430,1
https://www.openstreetmap.org/way/554663217,https://www.openstreetmap.org/node/433042886,https://www.openstreetmap.org/node/433042892,1
https://www.openstreetmap.org/way/233262583,https://www.openstreetmap.org/node/256583210,https://www.openstreetmap.org/node/256583041,4
https://www.openstreetmap.org/way/144843401,https://www.openstreetmap.org/node/1583413576,https://www.openstreetmap.org/node/1583413575,5
https://www.openstreetmap.org/way/1132200852,https://www.openstreetmap.org/node/10556981216,https://www.openstreetmap.org/node/10556981219,1
https://www.openstreetmap.org/way/39905655,https://www.openstreetmap.org/node/479102408,https://www.openstreetmap.org/node/479102434,51
https://www.openstreetmap.org/way/45876876,https://www.openstreetmap.org/node/583941958,https://www.openstreetmap.org/node/9767073695,37
https://www.openstreetmap.org/way/1051043600,https://www.openstreetmap.org/node/1599335990,https://www.openstreetmap.org/node/1599335967,1
https://www.openstreetmap.org/way/502128583,https://www.openstreetmap.org/node/4927039874,https://www.openstreetmap.org/node/4927039873,4
https://www.openstreetmap.org/way/8053208,https://www.openstreetmap.org/node/247123561,https://www.openstreetmap.org/node/298176961,1
https://www.openstreetmap.org/way/310322073,https://www.openstreetmap.org/node/10229570128,https://www.openstreetmap.org/node/3157419567,1
https://www.openstreetmap.org/way/344817895,https://www.openstreetmap.org/node/3515464027,https://www.openstreetmap.org/node/3515464028,2
https://www.openstreetmap.org/way/1237733968,https://www.openstreetmap.org/node/5354911134,https://www.openstreetmap.org/node/2280814516,12
https://www.openstreetmap.org/way/23695764,https://www.openstreetmap.org/node/256583490,https://www.openstreetmap.org/node/256583499,2
https://www.openstreetmap.org/way/1064690826,https://www.openstreetmap.org/node/6977771525,https://www.openstreetmap.org/node/10245341253,19
https://www.openstreetmap.org/way/673166137,https://www.openstreetmap.org/node/25084661,https://www.openstreetmap.org/node/417152575,2
https://www.openstreetmap.org/way/951264791,https://www.openstreetmap.org/node/8805004580,https://www.openstreetmap.org/node/8805004579,4
https://www.openstreetmap.org/way/271371167,https://www.openstreetmap.org/node/9471843009,https://www.openstreetmap.org/node/2763295979,2
https://www.openstreetmap.org/way/233873739,https://www.openstreetmap.org/node/1525470424,https://www.openstreetmap.org/node/4124080933,4
https://www.openstreetmap.org/way/1042422281,https://www.openstreetmap.org/node/589527806,https://www.openstreetmap.org/node/2141923806,3
https://www.openstreetmap.org/way/350913837,https://www.openstreetmap.org/node/939244655,https://www.openstreetmap.org/node/11406699575,2
https://www.openstreetmap.org/way/387237150,https://www.openstreetmap.org/node/1960295450,https://www.openstreetmap.org/node/1960295434,10
https://www.openstreetmap.org/way/202541486,https://www.openstreetmap.org/node/2125052165,https://www.openstreetmap.org/node/2125072120,24
https://www.openstreetmap.org/way/909230568,https://www.openstreetmap.org/node/8442133829,https://www.openstreetmap.org/node/8442122240,5
https://www.openstreetmap.org/way/1133967818,https://www.openstreetmap.org/node/433263924,https://www.openstreetmap.org/node/10572055544,9
https://www.openstreetmap.org/way/631357246,https://www.openstreetmap.org/node/5121085881,https://www.openstreetmap.org/node/6986415190,2
https://www.openstreetmap.org/way/993310583,https://www.openstreetmap.org/node/9176824007,https://www.openstreetmap.org/node/9944612940,1
https://www.openstreetmap.org/way/418449720,https://www.openstreetmap.org/node/177205254,https://www.openstreetmap.org/node/21433830,1
https://www.openstreetmap.org/way/468101116,https://www.openstreetmap.org/node/247039724,https://www.openstreetmap.org/node/247039723,1
https://www.openstreetmap.org/way/193841773,https://www.openstreetmap.org/node/2043503728,https://www.openstreetmap.org/node/2043503725,1
https://www.openstreetmap.org/way/192542227,https://www.openstreetmap.org/node/3661912133,https://www.openstreetmap.org/node/2030943311,1
https://www.openstreetmap.org/way/144949110,https://www.openstreetmap.org/node/1584227844,https://www.openstreetmap.org/node/1584227856,2
https://www.openstreetmap.org/way/166113168,https://www.openstreetmap.org/node/1662583709,https://www.openstreetmap.org/node/8523023667,4
https://www.openstreetmap.org/way/1132544614,https://www.openstreetmap.org/node/10560124656,https://www.openstreetmap.org/node/10560124657,1
https://www.openstreetmap.org/way/216529095,https://www.openstreetmap.org/node/2258802272,https://www.openstreetmap.org/node/2258802500,1
https://www.openstreetmap.org/way/1008291267,https://www.openstreetmap.org/node/1537517955,https://www.openstreetmap.org/node/2765917865,7
https://www.openstreetmap.org/way/160584850,https://www.openstreetmap.org/node/1025182265,https://www.openstreetmap.org/node/1025182255,1
https://www.openstreetmap.org/way/27197322,https://www.openstreetmap.org/node/298458228,https://www.openstreetmap.org/node/10929386072,2
https://www.openstreetmap.org/way/34654164,https://www.openstreetmap.org/node/403165351,https://www.openstreetmap.org/node/403148446,4
https://www.openstreetmap.org/way/868381571,https://www.openstreetmap.org/node/1186304709,https://www.openstreetmap.org/node/1186304723,3
https://www.openstreetmap.org/way/542158205,https://www.openstreetmap.org/node/847277348,https://www.openstreetmap.org/node/847277379,25
https://www.openstreetmap.org/way/37210853,https://www.openstreetmap.org/node/7801432306,https://www.openstreetmap.org/node/433265928,1
https://www.openstreetmap.org/way/122202053,https://www.openstreetmap.org/node/1366263801,https://www.openstreetmap.org/node/1366263818,1
https://www.openstreetmap.org/way/314049296,https://www.openstreetmap.org/node/3200829199,https://www.openstreetmap.org/node/3200829211,44
https://www.openstreetmap.org/way/1044476070,https://www.openstreetmap.org/node/9610792501,https://www.openstreetmap.org/node/1651694535,16
https://www.openstreetmap.org/way/881277780,https://www.openstreetmap.org/node/8196458303,https://www.openstreetmap.org/node/8196458302,1
https://www.openstreetmap.org/way/408832186,https://www.openstreetmap.org/node/4107387090,https://www.openstreetmap.org/node/4107387089,3
